e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,Categories
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
1.589054415,1.923401484,1.143964918,-0.984349283,0.658217036,0.515085186,0.417803079,0.443618819,-0.560788346,0.088909607,1.015780258,-0.388340998,0.443016948,-0.012548605,-0.013318483,-0.439148289,0.029391516,-0.242674265,-0.010555265,-0.158067945,-0.005630513,-0.065342094,0.344280125,0.049311868,0.110356353,0.090285906,0.285269706,0.043791132,0.052900131,0.071760631,0.249178058,-0.069417581,-0.144451119,0.041896006,0.178903313,0.232284692,-0.557944392,-0.218408555,0.100098669,0.045029768,-0.067858034,0.059602724,0.248786142,-0.040337372,-0.118320169,0.345082833,0.245129284,-0.051010346,0.049077057,-0.014120044,-0.169059443,-0.066665668,0.126590895,-0.058996701,0.086463905,-0.086761046,-0.006682155,0.163452532,0.092739473,0.235395241,-0.087165461,0.070043088,-0.111340966,0.028929118,0.0034715,0.118500688,2.33E-05,0.00698485,0.044655529,0.237944035,0.01216132,0.03340762,0.148658531,-0.065171401,-0.086310376,0.071638869,0.05134069,0.07537139,-0.002212705,-0.014947646,0.005611876,-0.070142879,0.066303145,-0.048270605,0.001861244,-0.138494749,0.013853409,0.071548065,0.083021434,-0.10437948,-0.085072009,-0.038333648,-0.066218563,0.114723481,0.124212013,-0.074777272,-0.01838848,0.124630075,0.014778075,-0.021515881,0.074386714,-0.011610747,0.02166516,0.0058638,0.06276949,0.001566877,0.019119064,-0.010558968,-0.0337806,0.022932527,0.028864758,0.034407858,0.027597359,0.046338564,0.045952475,-0.025060755,-0.047639179,-0.031462616,-0.034175505,-0.010125849,-0.018786695,-0.026305014,1.54E-15,1
-0.817729404,1.143176127,-0.203112622,-0.499485941,0.122729934,0.389356361,0.250747912,-0.007697073,-0.284439962,-0.418789283,0.462417162,0.065623193,-0.107709603,0.243166489,-0.077589265,-0.039666592,-0.132095784,-0.173115764,0.030581757,-0.334582859,0.076237297,-0.217518782,-0.014245658,0.14841589,-0.086189301,-0.161352515,0.571865469,-0.060363486,-0.029211135,0.194474098,0.18060107,-0.270454752,0.268505476,-0.062582596,-0.211422289,0.327245109,0.09805104,-0.098621649,0.085921874,0.241572451,-0.130134621,0.094367307,0.173581966,0.020543252,0.010912302,-0.138006299,-0.140321685,0.089912559,0.060829308,0.057575108,-0.091407649,0.145323311,-0.065459348,-0.062066285,-0.139040851,-0.168152584,0.082741504,0.22203701,-0.06448053,-0.002522644,0.272402135,0.070997022,-0.087336541,0.042515979,-0.085131719,0.203712864,-0.075405675,0.102185807,-0.167512639,-0.149157991,0.024301776,0.072699647,-0.08012525,-0.018699189,0.165611962,-0.028100839,0.120570546,-0.050716917,0.114138579,0.002724414,-0.092478021,-0.056004762,0.08130484,-0.022714093,-0.05234206,0.086000681,-0.017162447,0.118992474,-0.002409706,0.057048844,-0.014356876,-0.035046202,-0.057799163,0.031578906,-0.088321603,-0.088317824,0.065197437,-0.070015265,-0.115113824,0.00885152,-0.065159736,-0.031761361,0.072694692,0.025377538,0.116630628,0.036280391,0.026492877,-0.033585423,0.086794867,0.063344283,0.003245597,-0.039385027,0.021302992,-0.000675062,-0.008960842,-0.00983787,0.017564315,-0.021926781,-0.008192763,0.043436516,0.057138613,0.00354679,1.42E-15,0
1.484291315,1.643188373,1.074935146,-0.768676827,0.905636949,1.231755172,0.142287086,0.032385798,-0.267226335,0.026737271,0.34075988,-0.400647101,0.260337758,0.781719455,-0.184333041,0.34103917,0.198406334,0.072453691,0.109628142,0.075342901,-0.107639314,-0.056724821,0.179917349,-0.085102271,0.219345915,0.351480223,0.337594876,0.308111195,-0.188439394,0.023233817,-0.040355522,0.063628205,-0.094792137,0.261271896,0.198153646,0.086462682,0.063266262,-0.042174962,-0.173266888,0.181113367,-0.042046325,0.139339793,0.055170556,0.081782977,-0.189357936,0.215310103,0.048168067,-0.156017415,0.101530426,0.01056269,0.211663125,0.080846207,-0.020413733,0.069943283,0.021473904,-0.110850189,-0.144348244,-0.17311931,-0.062104006,0.099171159,-0.146212535,-0.215798315,-0.082140949,-0.107611803,0.269548028,-0.076098922,0.083765115,-0.078363695,0.00967343,0.08120837,0.041947699,0.029261622,-0.121533543,0.180889687,0.032301915,-0.071557579,0.053049371,-0.088124702,-0.038166178,-0.147425768,-0.172362897,-0.012175807,-0.003106015,0.14253398,-0.107097913,0.165823753,-0.069925961,0.097818613,-0.028637606,0.092977753,0.133131908,0.001514396,0.090139552,-0.03751672,0.037340955,-0.056289336,-0.08494321,0.035598119,-0.041867528,0.07924292,-0.006892564,-0.058234203,-0.020419869,-0.031559871,-0.026568181,0.050699665,0.029366734,-0.034674809,-0.050371525,-0.028315598,0.046247017,-0.045845503,0.018123193,0.01191043,-0.031153048,-0.014653999,0.019108946,0.004951022,0.008705257,-0.011188645,-0.011119945,0.004470714,1.41E-15,1
1.261199765,1.065844988,1.379936189,-0.921663456,1.389861468,0.654521091,0.121948137,0.275384114,0.129282096,0.138793028,1.002190787,-0.007192373,0.152671246,0.243600131,-0.159627741,-0.179507473,0.032993115,-0.199054795,0.448323496,0.047266944,-0.160829843,-0.097397579,0.043159629,-0.031814019,0.051770663,0.167410999,-0.178071922,0.040043976,-0.322947259,0.233668693,-0.09124243,0.356895256,0.161173606,0.09235957,0.059395244,0.024069873,0.068872732,-0.084124517,-0.059893197,-0.241593567,0.077854772,-0.074201089,0.005973481,-0.088282299,-0.032520235,0.079844795,0.032322032,0.100156971,0.044476232,0.083834956,-0.179714353,0.215657804,0.242755374,-0.040038215,0.187358384,0.128765477,-0.037982872,0.088966924,-0.1334095,-0.115019872,-0.141765574,0.062792685,-0.098403272,0.311717571,0.24533848,-0.000871312,0.021439951,0.063428161,0.033474616,-0.071010563,0.070774502,0.042208688,-0.052538256,0.037151764,0.002695545,-0.140525167,-0.107229642,0.16576568,-0.112112278,0.091343985,0.02870561,0.013617781,-0.096156753,-0.154752176,0.067163857,0.016284418,-0.166710831,0.031916941,0.004875733,0.122584774,-0.083538772,0.096694698,0.056329797,0.078610288,-0.088517306,0.10057308,0.038843155,-0.037115033,0.033794225,0.001156331,0.010667012,0.00059981,0.073777455,0.01644593,0.042343832,-0.044766865,0.04699503,-0.010519879,-0.00397537,-0.06102711,-0.056510693,-0.004175395,-0.015552806,0.009873918,0.005425,0.059219941,-0.002520111,0.002310142,0.036690592,0.008117003,0.025608297,-0.005778794,1.39E-15,1
3.216040402,-0.884197747,-0.448501937,0.08574577,0.151802558,2.194416164,-0.62191743,-2.056105018,1.54024701,0.16184337,1.143923937,-0.341850654,-0.318802955,0.353436094,-0.03933482,-0.12577939,0.455393824,-1.401674182,0.298020603,-0.229845217,1.055183631,0.647654479,-0.781085405,0.269065304,-0.047943024,0.057732322,-0.268305879,-0.172198082,-0.049826948,-0.241072824,-0.127328317,-0.252893259,0.126066546,-0.310062431,-0.074145611,-0.174081816,-0.263372071,0.29260542,-0.259152769,0.254451251,0.112559269,-0.15584122,0.068244163,-0.154007769,-0.084447525,-0.194815547,0.018427953,-0.211592472,-0.096128062,-0.075962428,-0.241938868,-0.259000682,-0.038461065,-0.104369299,-0.060526545,-0.069722185,0.025118183,-0.041255033,-0.092234402,0.010156311,-0.101029411,0.058903978,0.020725282,0.02370085,0.001419303,-0.047184063,0.030755017,0.020888797,0.018080832,0.06822501,0.012449853,0.118706452,-0.01177953,0.017096855,0.017232504,-0.029536104,-0.031671173,-0.016161135,-0.027691944,-0.094040945,0.033482333,0.03617453,0.042604761,0.032508011,-0.042302745,-0.012538211,0.026034199,-0.04938912,0.001731144,0.005125127,-0.014389199,0.025320511,0.029098471,0.001160465,0.017553892,-0.013657976,0.033651744,-0.014268534,-0.002789633,-0.020728836,-0.029563056,0.004297006,-0.00184205,-0.001264427,0.003888439,0.004535599,-0.024080218,0.002957172,-0.017336968,0.012126157,0.029964649,-0.002273158,0.010903221,0.002521327,0.00030498,0.004605524,0.007254428,-0.002625533,0.010295481,0.008431795,0.01978716,0.00399116,1.45E-15,1
2.138898267,0.928365029,1.283641153,1.115225447,-0.629966741,1.326002833,0.539355507,0.067681644,0.206491458,0.214874698,-0.126240086,0.70361431,-0.097561946,1.00925918,0.011255641,0.053213347,-0.059016426,0.314836574,-0.23651598,-0.647984428,0.127765024,0.412459232,-0.059500031,-0.581568492,-0.370081215,0.179595845,0.638860791,0.088747563,-0.378452736,0.040359026,0.310862752,0.184189704,-0.227740075,-0.101759786,0.116417903,-0.012001005,0.000893356,0.070068619,-0.072507471,-0.202685815,-0.123991043,-0.139811883,0.171406765,-0.202352321,0.078037799,-0.100512716,0.099100559,-0.214003019,0.22702402,0.068634233,0.019494906,-0.031816937,0.029260914,-0.257996679,0.057801231,0.229064976,0.062958178,0.170320016,0.281029204,-0.263124227,-0.067477683,-0.172512308,0.016922164,-0.297268857,0.020225086,0.055425385,0.074471262,0.023438756,0.221499128,-0.03191777,-0.057785435,-0.013988332,0.145282635,0.081286825,0.023372207,0.048343675,0.005096657,-0.055388975,0.164295584,-0.007550292,-0.041201014,0.059015283,0.063896499,-0.097197295,-0.001579709,0.038412403,0.040834834,0.031213786,-0.049078264,-0.062544407,0.041763195,-0.007705708,-0.032059464,-0.021436513,-0.066569115,0.040324486,0.000678722,-0.026426791,0.043466605,-0.042574075,0.00722657,0.004723442,0.022021912,-0.015263244,0.035416396,-0.074959041,0.013286536,0.044055398,0.031237107,-0.039148,0.003565061,0.020020445,-0.021819184,-0.021370211,-0.024445862,-0.00254092,-0.027463899,-2.24E-06,0.027043834,-0.008449483,0.00545339,-0.009550797,1.27E-15,1
1.651055946,0.338167975,1.292957226,2.503528619,1.266330334,0.066411027,-1.242651773,-0.005850724,0.017951388,-0.407219015,0.315417183,0.64824252,0.779631803,-0.444339427,-1.319377157,0.498186311,-0.142776755,-0.111402094,-0.815878285,0.222406778,-0.298325568,0.400644909,-0.137534023,0.004101551,-0.004913811,0.043395877,0.050264662,-0.800998621,0.362092289,-0.166348174,-0.149344272,-0.179647511,0.016218621,-0.12358159,0.552372981,0.023191113,0.274832283,-0.456664248,-0.047021722,0.186200194,-0.162904708,-0.146138559,0.424618585,-0.140720909,0.141940163,0.07493837,0.298995324,0.157269544,-0.125236351,0.062464992,0.076031148,-0.052071292,-0.042922699,0.060090031,0.184416372,-0.139099009,-0.04355171,0.152064851,0.038391553,-0.026898789,0.072708723,0.141553921,-0.055619875,-0.009655307,-0.159217888,0.094270334,-0.099838483,-0.018973255,0.05194939,-0.018124309,0.004339511,-0.02975944,-0.074503115,0.176552149,0.017654652,-0.047630441,-0.052750271,0.014450295,0.022720558,-0.006706149,0.052303922,0.070568512,-0.08050501,-0.003202897,-0.024943677,0.035715339,0.058111213,-0.001224298,0.039686193,0.035984231,0.000291573,0.010114098,-0.047886637,-0.050696697,0.032821015,0.046628466,-0.052392415,-0.006189066,0.06263365,-0.011825222,-0.032638199,-0.014967317,-0.003266504,0.024246983,-0.023892564,0.027232662,0.019622386,-0.021613409,-0.035797167,0.000839482,-0.009060666,-0.030828746,-0.003012427,0.009704434,0.012553729,0.00041977,0.017344904,0.013160527,0.011491771,0.011045897,0.000549586,-0.00077873,9.44E-16,1
-1.369779362,0.947588482,0.126053682,0.179902231,0.309329362,0.049891274,0.039419082,0.205779997,0.091841834,0.138699508,0.129499023,-0.287026222,0.078692644,-0.005666874,0.103668833,0.564736679,-0.115591504,-0.005949809,0.33908179,-0.122433034,-0.030322885,-0.04724439,-0.082772909,-0.154274158,0.030429099,-0.231822399,-0.060899102,0.032668451,0.052749111,-0.176909317,-0.017783501,-0.145321074,0.176452283,0.034295571,0.121717342,0.068304074,-0.041158347,0.104113376,0.101648582,0.233134543,-0.111212427,-0.027217705,-0.032739045,-0.279428445,0.169650692,-0.134741532,0.115384567,-0.024420446,-0.098627758,-0.121296467,0.052990367,0.192750801,0.207462232,-0.121668333,-0.048472848,-0.09710047,-0.091524909,0.026557502,-0.011282663,0.062883757,0.096429865,-0.034244266,-0.002499873,0.033931384,-0.095314494,-0.123360101,0.00197485,0.006036904,0.041694717,-0.089573456,0.016891246,0.119197154,0.066081586,-0.004622304,-0.004745977,0.042045201,0.122046416,0.005410968,-0.062318319,0.155954209,0.124227219,-0.158887923,-0.017214174,0.07168966,-0.024337821,0.026783827,0.054298838,-0.069782596,-0.154269493,-0.005752985,-0.019524332,0.001911251,0.071601591,-0.085089326,0.011916244,0.029829042,-0.065987467,0.043574856,-0.000729225,0.045641759,-0.011069223,0.095557114,-0.014036623,-0.074505157,0.042039314,-0.071940085,0.148569641,0.04724685,0.03589306,-0.114290435,0.083958941,-0.003101168,-0.020150201,0.005392285,0.067664517,-0.012676939,0.052814197,-0.063341978,-0.04558775,0.023551135,-0.013189479,0.019445595,1.37E-15,0
-1.395535516,0.983415174,-1.697190837,-0.263951152,0.015680322,0.262913074,0.313583641,-0.342051657,-0.108887032,-0.517943855,-0.005920432,-0.492667285,-0.045471164,-0.039973343,0.026839199,0.290218447,0.029078783,-0.056604301,0.140266329,-0.165537784,-0.234781603,-0.102453361,-0.170100276,0.242633572,0.03824877,-0.159764578,0.307680326,-0.134209712,-0.21264057,0.164365665,0.215119794,-0.169320627,0.563295551,0.101003513,-0.146698585,0.282219556,-0.013108972,0.336326045,-0.057534074,-0.004479427,-0.204196367,0.331360819,-0.041048914,-0.01000309,-0.190206101,0.024731392,-0.184586263,-0.159850386,-0.196592277,0.157461471,0.196206411,0.088333105,0.158592658,-0.270759738,-0.056610664,-0.238288895,-0.081760051,-0.04140957,0.01356545,-0.032268404,0.200661388,0.151455889,-0.114291402,-0.061404642,-0.013433985,-0.110511517,-0.135870436,0.006371045,0.068680869,0.034171065,-0.050499768,-0.08304547,0.04210401,-0.031240231,-0.06477579,-0.087600958,-0.113190681,0.022098717,-0.040359643,-0.013536573,0.04794985,0.245282581,0.023129836,-0.024921247,0.008604688,0.049503098,0.038639992,0.019597674,0.097274818,0.058815724,-0.075583717,-0.066633494,-0.020874335,-0.10485677,-0.004183421,0.124400906,-0.084105093,0.007022022,-0.042600065,0.014569527,0.023144778,-0.053375598,-0.10770407,0.011722439,0.079458269,-0.027805173,-0.079328023,0.035374653,-0.009886845,-0.040221903,-0.019272158,0.007468191,-0.030943597,0.039460397,0.004292925,0.002388896,-0.031958969,0.001454586,0.00810323,-0.028624223,-0.040996322,-0.036349754,1.28E-15,0
-2.004062757,-1.17407907,1.393463437,0.981451002,0.40117319,-1.015405479,0.084546788,-0.802102159,-0.659578357,-0.979637513,-0.035223036,0.530995411,0.866103533,-0.093103376,-0.082928367,0.074588769,-0.066012722,0.082234913,0.218329803,0.152412489,0.201019396,-0.216111028,0.258001586,0.29308962,-0.050444936,0.083524911,-0.256941849,-0.265973809,-0.145858501,-0.060470083,-0.130034616,0.343039608,-0.109003044,-0.296621304,-0.331112542,0.240153038,0.051236503,0.116277039,-0.020726885,0.111520624,-0.115761062,0.121547709,0.008876651,-0.053810801,-0.179048892,-0.037234974,0.006493594,-0.165108527,-0.082189913,-0.095963252,0.036890509,0.10875714,0.073489113,0.023188366,-0.122833724,0.202781158,-0.072998716,0.002072551,-0.037583795,-0.050123678,-0.126364673,-0.141002845,0.140689142,-0.282769771,0.11271123,0.085405939,-0.026176152,-0.017270856,-0.055363193,0.132146676,-0.120381037,-0.091158191,-0.00722566,-0.085234948,0.054938986,0.0759476,0.0943136,-0.021094815,-0.031268399,-0.014413149,0.101152958,0.010545364,-0.044385268,0.018307738,-0.152112677,-0.004830197,0.085280806,-0.056389994,0.137231636,0.061636736,-0.108777832,0.038343831,0.081941547,0.08346068,-0.099124591,-0.12733058,-0.048363525,0.005778225,0.072412269,0.01370937,0.013409948,0.077128051,-0.017687083,-0.02693759,0.088560722,0.049819276,0.010227865,0.017762451,-0.018489225,-0.00812491,-0.006126279,0.001411272,-0.058117202,0.051988759,0.003790663,0.035718421,0.023761079,0.024664995,0.022750797,0.0136919,0.049226815,-0.008100269,1.21E-15,0
-2.308012744,-0.153041225,1.281913308,-0.07342773,-1.111406811,0.521655134,-0.863733689,-0.627606236,0.976250025,-0.440980208,0.160263159,0.292253146,-0.069629044,0.237685051,0.157781539,0.231985383,0.063562395,0.26008157,-0.126190031,-0.095939752,-0.172371637,0.182921296,0.037643692,0.096421653,-0.344090992,0.008339616,0.056183006,0.244129977,-0.293869673,0.038305079,0.119421374,-0.010669281,0.011846277,0.021349665,0.281907595,-0.396269544,0.324820611,0.194396963,-0.050152707,-0.020688958,0.102877543,0.40078889,-0.171249884,-0.048076344,0.094290649,0.180940736,0.024779388,0.274974302,0.095864321,-0.090822082,0.054168293,-0.125737241,0.068107901,-0.168294016,0.115953079,0.112725825,-0.111946343,-0.241585473,-0.002237867,-0.081773031,-0.162529942,0.109524822,-0.115117284,-0.017770074,-0.014088091,0.094697321,-0.171945989,-0.119627694,0.025544087,-0.041024719,0.036853967,0.023006892,0.040333405,-0.034004693,0.014197451,-0.061182913,0.11807965,0.221198056,-0.119101309,0.037349013,0.040036563,0.125091314,-0.115927905,0.008126986,-0.099357985,-0.068881488,-0.09914916,0.072806394,0.033512426,-0.113487771,0.01685488,-0.056711572,-0.082404876,0.054405859,-0.038749591,-0.021470257,-0.032133783,0.011842191,-0.064155043,-0.010867799,-0.050579212,0.047913212,-0.023012489,-0.00622559,-0.034931604,0.039111843,0.049108758,0.044212395,0.059335876,0.08882649,0.017803492,0.010465762,-0.001543038,0.072522597,-0.023804718,-0.05551639,0.030913468,-0.008173753,-0.007519201,0.02152791,-0.010730653,0.035343906,1.46E-15,0
-1.265277065,-1.684293355,1.528545112,1.330335271,0.538361129,-1.080363135,-0.284632849,-0.689151813,-1.088877311,-1.123052894,-0.124795708,0.581509677,0.791079547,-0.20016058,-0.135761505,-0.285620545,-0.525443131,-0.24636382,0.188577503,-0.257046836,0.036098475,-0.21729285,0.340315071,0.337890563,-0.199974508,0.295804393,-0.543597627,-0.209624557,-0.454002033,-0.160964011,-0.153324669,0.50743478,-0.073185618,-0.420005236,-0.234746648,0.043259539,-0.235662726,0.056876961,-0.196369477,0.10365892,-0.258802826,0.121907999,0.092570314,-0.102663276,-0.083750493,-0.021783908,-0.114290825,-0.305933594,0.150549453,-0.117844114,0.034000842,-0.042860297,0.185198659,0.032044751,-0.116252092,-0.038551534,-0.030901401,0.026193613,-0.141182818,0.013294587,-0.044391961,0.076412702,-0.02674217,0.103014052,0.097028668,0.038024952,0.048600275,-0.034657467,0.011469219,-0.005638639,-0.002816417,0.030140259,0.022162921,-0.093501522,0.070863702,-0.026339095,0.00604201,-0.027215844,-0.001392022,0.119078659,-0.020036758,0.069850883,0.048399473,-0.0304043,-0.022811269,-0.046481433,0.03043063,0.128418773,-0.090340761,-0.06988334,0.104494147,0.014049793,-0.040258558,-0.028993891,0.054250826,0.113759974,0.0397715,-0.008260242,-0.049879348,0.010941708,-0.044819934,-0.07561169,0.036764194,0.023705384,-0.074462125,-0.032012301,-0.009171335,-0.027390095,0.053842866,-0.022892421,0.044300343,-0.02260206,0.065036935,-0.058347665,-0.013737864,-0.031979089,-0.004136178,-0.001989489,-0.027287551,-0.013495396,-0.052266245,-0.005443668,4.58E-16,0
-3.752831944,0.033315184,0.501788283,0.025809247,0.309792009,-0.207318927,0.31056863,0.34799865,0.392388093,-0.286651819,-0.185378517,-0.256580465,0.351048481,0.399786425,-0.136660203,0.160895908,-0.097106411,-0.295861995,-0.048543051,0.06298392,-0.365655511,-0.054674349,-0.060623432,0.469947579,-0.082967781,0.07107968,-0.011277669,-0.163915094,0.102272293,-0.073924699,0.138365066,-0.069013689,0.0779796,-0.250456313,0.159661484,-0.173246701,-0.044537598,0.030182318,0.009017775,-0.036506372,0.015136996,0.151212588,-0.241471096,-0.026680596,-0.064033049,-0.147683654,-0.06421515,0.07369958,-0.133237871,0.0107313,-0.030941316,0.044092577,0.186288965,-0.145125611,0.000736636,-0.122660383,-0.106572431,0.093255593,0.21600424,0.043113519,-0.093638738,-0.004075424,0.169688111,-0.00178094,-0.070004522,-0.06398889,-0.007775209,0.031275375,0.0799629,-0.063495422,-0.187354454,-0.022942382,-0.062167488,0.018215258,0.077982756,-0.054131343,-0.073828273,-0.088578845,0.036070258,-0.019324928,-0.023906196,0.054091823,-0.111243182,0.010149563,0.014857458,0.089544621,-0.100726502,0.004421198,-0.049840234,-0.081320151,-0.10720283,-0.088298227,0.0660503,0.016889008,0.131369103,-0.134148321,0.035249992,-0.058985474,-0.027447643,-0.041020294,0.037722362,-0.06897658,0.00670945,-0.151421871,-0.067740556,-0.046621116,0.088941705,-0.043134981,0.012104701,0.058574753,-0.030011021,0.064919424,0.0396499,-0.033534593,-0.013583342,0.086767188,-0.049032177,0.012833707,-0.017670168,-0.031609007,0.028496593,-0.004885837,1.26E-15,0
-3.821146449,0.703617962,0.282435749,-0.247709319,0.108842897,-0.423338039,0.306292489,0.142390437,0.230851564,-0.182349709,0.101004786,-0.17804709,0.113166878,0.240443326,-0.080808551,0.193101166,-0.026561722,0.012246129,-0.003189077,-0.189256509,0.041242881,0.125120088,0.072810308,0.13893735,-0.096020298,-0.171120552,0.034010015,-0.033893914,-0.016665113,-0.062017873,-0.014716109,-0.075854232,0.22184385,-0.003996882,0.083639656,-0.15331276,0.043572106,0.260606195,-0.018252948,-0.183021352,-0.116202367,0.189548242,-0.12172354,-0.009120013,-0.021479733,0.073782244,-0.11097211,0.044267478,-0.188577822,0.06588561,-0.054580925,-0.018232108,0.035410287,-0.019862119,-0.079310945,-0.047587633,-0.095269883,0.003979302,0.080292684,0.1144842,-0.017531427,-0.019537134,0.189362244,0.079247919,-0.080226308,0.022978841,0.076261233,-0.068784929,-0.064686566,0.029417188,-0.078013124,-0.03581906,0.060048807,0.106385895,-0.075613184,-0.093569693,0.006769283,-0.077068164,0.050159019,-0.032484977,-0.00575142,-0.01605827,-0.087081756,0.020249667,-0.05584641,0.079592664,-0.004309153,0.070479743,0.01633226,-0.093808685,-0.049054128,-0.037123495,0.009950603,0.032779369,-0.006992229,0.004082142,0.0917583,-0.001061896,0.076396902,0.01288311,0.004808928,0.020045997,0.180815767,0.061604691,0.005156529,-0.01848505,-0.081361446,-0.00135821,-0.107639242,-0.090193488,-0.053836193,-0.031543638,-0.042138763,-0.035002939,0.03206031,-0.147243403,0.004973553,-0.006581152,0.000697302,-0.01387468,0.025211632,0.07854363,1.23E-15,0
